


LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 10:03:10:310|null|hochiminh01|14.186.91.44|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 10:48:33:4833|null|kienpt|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 11:24:56:2456|null|trieucm|14.252.159.120|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 02:16:44:1644|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 02:42:41:4241|null|quangngai01|14.167.32.180|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/04/24 02:52:54:5254|null|quangngai01|14.167.32.180|Home/Login|1|0



LOGOUT|http://dannguyen.quochoi.vn/Home/Logout/:80|KNCT|2020/04/24 02:57:16:5716|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 03:07:31:731|null|kienpt|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 03:14:58:1458|null|anhvtl|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login/:80|KNCT|2020/04/24 04:27:05:275|null|kienpt|113.191.249.100|Home/Login|1|0



LOGIN|http://dannguyen.quochoi.vn/Home/Login:80|KNCT|2020/04/24 04:49:36:4936|null|quynn|113.191.249.100|Home/Login|1|0
